18642	lugal	OTHER
18276	sze	OTHER
16903	kiszib3	OTHER
16558	gin2	OTHER
16122	|SZU+LAGAB|	OTHER
15996	gu4	OTHER
15919	4(disz)	OTHER
12244	niga	OTHER
12128	masz2	OTHER
11910	sila4	OTHER
11879	kasz	OTHER
11878	1(barig)	OTHER
11856	szu	OTHER
11700	ba-hul	OTHER
11697	6(disz)	OTHER
11230	3(u)	OTHER
10609	dub-sar	OTHER
10460	giri3	OTHER
10079	1(gesz2)	OTHER
9752	GAN2	OTHER
9747	ninda	OTHER
9712	1(ban2)	OTHER
9510	1(asz)	OTHER
9465	3(ban2)	OTHER
9290	gurusz	OTHER
9037	ugula	OTHER
8956	1/2(disz)	OTHER
8901	e2	OTHER
8598	ba-ti	OTHER
8589	a-sza3	OTHER
8500	ma-na	OTHER
8302	2(barig)	OTHER
8193	us2-sa	OTHER
8165	sza3	OTHER
8092	8(disz)	OTHER
7514	7(disz)	OTHER
7438	4(u)	OTHER
7390	en	OTHER
7283	i3	OTHER
6994	la2	OTHER
6985	i3-dab5	OTHER
6956	2(ban2)	OTHER
6752	lu2	OTHER
6349	gal	OTHER
6042	zi3	OTHER
5754	u3	OTHER
5518	4(ban2)	OTHER
5511	2(asz)	OTHER
5503	3(barig)	OTHER
5474	ba-hun	OTHER
5436	mu-DU	OTHER
5296	5(u)	OTHER
5218	{d}szu-{d}suen	OTHER
5046	sag10	OTHER
5006	gesz	OTHER
4819	ab2	OTHER
4798	gu2	OTHER
4732	4(barig)	OTHER
4669	2(gesz2)	OTHER
4563	1(disz)-sze3	OTHER
4415	ma2	OTHER
4323	zi-ga	OTHER
4305	tug2	OTHER
4175	ensi2	OTHER
3921	du	OTHER
3912	ga	OTHER
3899	u8	OTHER
3874	a-ra2	OTHER
3767	sze-bi	OTHER
3747	siki	OTHER
3728	a2	OTHER
3631	{d}inanna	OTHER
3629	3(asz)	OTHER
3621	u2	OTHER
3565	sa	OTHER
3535	1/3(disz)	OTHER
3519	gi	OTHER
3494	us2	OTHER
3406	ki-masz{ki}	GN
3356	engar	OTHER
3300	1(disz)-kam	OTHER
3258	geme2	OTHER
3204	maszkim	OTHER
3182	kusz	OTHER
3157	5(ban2)	OTHER
3106	sukkal	OTHER
3100	nita2	OTHER
3099	la2-ia3	OTHER
3088	3(disz)-kam	OTHER
3070	ba-zi	OTHER
3031	igi	OTHER
3018	{d}nanna	OTHER
3010	ba-du3	OTHER
2997	4(asz)	OTHER
2994	2/3(disz)	OTHER
2964	nu-banda3	OTHER
2934	3(gesz2)	OTHER
2889	sze-KIN-ku5	OTHER
2886	2(disz)-kam	OTHER
2832	ud5	OTHER
2811	sar	OTHER
2747	ur-{d}ba-ba6	PN
2699	{d}amar-{d}suen	OTHER
2689	5(asz)	OTHER
2618	sum	OTHER
2587	bad3	OTHER
2518	mu	OTHER
2488	ur-nigar{gar}	PN
2487	1(esze3)	OTHER
2471	ba-usz2	OTHER
2470	6(asz)	OTHER
2452	4(disz)-kam	OTHER
2429	ku3-babbar	OTHER
2407	naga	OTHER
2386	dug	OTHER
2373	ansze	OTHER
2370	sa2-du11	OTHER
2361	amar	OTHER
2322	ab-ba-sa6-ga-ta	PN
2311	mar-tu	OTHER
2282	dabin	OTHER
2279	1(gesz'u)	OTHER
2231	9(disz)	OTHER
2210	1(asz@c)	OTHER
2207	gub-ba	OTHER
2179	hi-a	OTHER
2172	uri5{ki}-ma	GN
2166	lugal-e	OTHER
2116	i3-gesz	OTHER
2091	ki-la2-bi	OTHER
2046	ak	OTHER
2033	ur-mes	PN
2013	1/2(iku)	OTHER
2007	id-gur2	OTHER
2002	sag	OTHER
1950	mah	OTHER
1938	4(gesz2)	OTHER
1897	eridu{ki}	GN
1891	ezem-{d}szul-gi	OTHER
1884	sza3-gal	OTHER
1883	dida	OTHER
1870	lu2-dingir-ra	PN
1856	ba-zal	OTHER
1856	7(asz)	OTHER
1843	ur-bi2-lum{ki}	GN
1836	{d}szara2	OTHER
1827	lu2-kal-la	PN
1817	diri	OTHER
1802	szesz-kal-la	PN
1789	8(asz)	OTHER
1780	a-kal-la	PN
1740	a2-bi	OTHER
1729	erin2	OTHER
1715	kal-ga	OTHER
1689	szabra	OTHER
1687	sar-ta	OTHER
1682	su-ga	OTHER
1678	ba-ab-du8	OTHER
1676	umma{ki}	GN
1670	bala-a	OTHER
1662	an	OTHER
1624	2(esze3)	OTHER
1623	ku6	OTHER
1622	si-mu-ru-um{ki}	GN
1599	ARAD2-zu	OTHER
1598	5(gesz2)	OTHER
1588	{d}en-lil2-la2	OTHER
1579	ub-da	OTHER
1568	limmu2-ba	OTHER
1558	ku3-bi	OTHER
1556	gu	OTHER
1552	{d}en-lil2	OTHER
1545	mu-hul	OTHER
1540	hun-ga2	OTHER
1536	sze-ba	OTHER
1515	1(bur3)	OTHER
1513	sza3-bi-ta	OTHER
1496	{d}en-ki	OTHER
1494	ur-{d}lamma	PN
1455	szu-gid2	OTHER
1428	szusz3	OTHER
1426	kas4	OTHER
1419	1/4(iku)	OTHER
1409	sila3-ta	OTHER
1408	unu6	OTHER
1407	gal2	OTHER
1401	i3-pa3	OTHER
1379	ba-dim2	OTHER
1375	3(iku)	OTHER
1359	5/6(disz)	OTHER
1349	si-ma-num2{ki}	GN
1346	lu2-{d}nin-szubur	PN
1345	bar	OTHER
1338	muhaldim	OTHER
1333	munus	OTHER
1329	5(disz)-kam	OTHER
1314	zu2-lum	OTHER
1314	i3-dub	OTHER
1303	9(asz)	OTHER
1300	ur-{d}szul-pa-e3	PN
1299	gen-na	OTHER
1297	du-ni	OTHER
1294	ku3	OTHER
1290	szu-numun	OTHER
1288	i7	OTHER
1281	sanga	OTHER
1277	6(gesz2)	OTHER
1275	ezem-mah	OTHER
1272	ur-{gesz}gigir	PN
1250	{d}i-bi2-{d}suen	OTHER
1250	ARAD2-mu	PN
1247	dur3	OTHER
1244	a	OTHER
1238	masz-da3	OTHER
1225	mu-du3	OTHER
1200	6(disz)-kam	OTHER
1195	sipa	OTHER
1192	a2-ki-ti	OTHER
1188	uri5{ki}-ma-ke4	GN
1185	{munus}asz2-gar3	OTHER
1179	nig2-ka9	OTHER
1153	ziz2	OTHER
1139	sig15	OTHER
